book,profile,policy,payout_mode,reserve_usd,use_dynamic_risk,fixed_risk_usd,healthy_cushion_frac,daily_stop,streak_mode,pre_lock_scale,post_lock_scale,block_insufficient_capacity,cap_risk_to_cushion,n_paths,classification,composite_score,P(first payout),P(5 payouts),P(10 payouts),P(survive 1 year),P(survive 504),median_cumulative_payout,expected_cumulative_payout,downside_tail_p05_payout,P(breach),never_traded,mean_floor_blocks,mean_trades,breach_causes,pre_breach,breach_timing,state_occupancy,pre_n_breaches,pre_median_cushion,pre_mean_cushion,pre_frac_locked,pre_median_days_since_payout,pre_median_consecutive_losses,pre_frac_payout_within_8d,P(breach_by_30),P(breach_1_to_30),P(breach_by_60),P(breach_31_to_60),P(breach_by_90),P(breach_61_to_90),P(breach_by_180),P(breach_91_to_180),P(breach_by_252),P(breach_181_to_252),P(breach_by_504),P(breach_253_to_504),P(never_breach_504),state_HEALTHY,state_CAUTION,state_DEFENSIVE,state_CRITICAL,state_LOCKOUT,h30_P(survive),h30_P(first payout),h30_P(2 payouts),h30_P(5 payouts),h30_P(10 payouts),h30_median_payouts,h30_median_cumulative_trader_payout,h30_expected_cumulative_trader_payout,h30_P(breach),h30_median_time_to_breach,h30_mean_trades,h60_P(survive),h60_P(first payout),h60_P(2 payouts),h60_P(5 payouts),h60_P(10 payouts),h60_median_payouts,h60_median_cumulative_trader_payout,h60_expected_cumulative_trader_payout,h60_P(breach),h60_median_time_to_breach,h60_mean_trades,h90_P(survive),h90_P(first payout),h90_P(2 payouts),h90_P(5 payouts),h90_P(10 payouts),h90_median_payouts,h90_median_cumulative_trader_payout,h90_expected_cumulative_trader_payout,h90_P(breach),h90_median_time_to_breach,h90_mean_trades,h180_P(survive),h180_P(first payout),h180_P(2 payouts),h180_P(5 payouts),h180_P(10 payouts),h180_median_payouts,h180_median_cumulative_trader_payout,h180_expected_cumulative_trader_payout,h180_P(breach),h180_median_time_to_breach,h180_mean_trades,h252_P(survive),h252_P(first payout),h252_P(2 payouts),h252_P(5 payouts),h252_P(10 payouts),h252_median_payouts,h252_median_cumulative_trader_payout,h252_expected_cumulative_trader_payout,h252_P(breach),h252_median_time_to_breach,h252_mean_trades,h504_P(survive),h504_P(first payout),h504_P(2 payouts),h504_P(5 payouts),h504_P(10 payouts),h504_median_payouts,h504_median_cumulative_trader_payout,h504_expected_cumulative_trader_payout,h504_P(breach),h504_median_time_to_breach,h504_mean_trades
GC,MFFU_RAPID_EOD_50K,PAY_PAYOUT_NONE,PAYOUT_NONE,1250.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.195608,0.0,0.0,0.0,0.986,0.9004,0.0,0.0,0.0,0.0996,0.0,49.5804,480.4856,"{""MLL_TRAIL"": 0.0388, ""LOSING_STREAK"": 0.0608}","{""n_breaches"": 249, ""median_cushion"": -0.9549418490373682, ""mean_cushion"": -1.144210327493323, ""frac_locked"": 0.0, ""median_days_since_payout"": 1370.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.002, ""P(breach_91_to_180)"": 0.002, ""P(breach_by_252)"": 0.014, ""P(breach_181_to_252)"": 0.012, ""P(breach_by_504)"": 0.0996, ""P(breach_253_to_504)"": 0.0856, ""P(never_breach_504)"": 0.9004}","{""HEALTHY"": 0.7847586637302889, ""CAUTION"": 0.11207465544395287, ""DEFENSIVE"": 0.04129853028629683, ""CRITICAL"": 0.013948066630506526, ""LOCKOUT"": 0.047920083908954865}",249,-0.9549418490373682,-1.144210327493323,0.0,1370.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.014,0.012,0.0996,0.0856,0.9004,0.7847586637302889,0.11207465544395287,0.04129853028629683,0.013948066630506526,0.047920083908954865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.9184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.6868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,92.5992,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,148.0,185.28,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,210.0,257.4952,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996,371.0,480.4856
GC,MFFU_RAPID_EOD_50K,PAY_PAYOUT_AS_SOON_AS_ELIGIBLE,PAYOUT_AS_SOON_AS_ELIGIBLE,1250.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.22859436346696305,0.0788,0.0012,0.0,0.9856,0.9,0.0,80.00457540921846,0.0,0.1,0.0,51.3128,479.8352,"{""MLL_TRAIL"": 0.0396, ""LOSING_STREAK"": 0.0604}","{""n_breaches"": 250, ""median_cushion"": -1.01927007875679, ""mean_cushion"": -1.1661917647686308, ""frac_locked"": 0.04, ""median_days_since_payout"": 1365.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0048, ""P(breach_91_to_180)"": 0.0048, ""P(breach_by_252)"": 0.0144, ""P(breach_181_to_252)"": 0.0096, ""P(breach_by_504)"": 0.1, ""P(breach_253_to_504)"": 0.0856, ""P(never_breach_504)"": 0.9}","{""HEALTHY"": 0.7770869634411586, ""CAUTION"": 0.11852426170237945, ""DEFENSIVE"": 0.04150462953516937, ""CRITICAL"": 0.013184687644099129, ""LOCKOUT"": 0.04969945767719347}",250,-1.01927007875679,-1.1661917647686308,0.04,1365.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0048,0.0144,0.0096,0.1,0.0856,0.9,0.7770869634411586,0.11852426170237945,0.04150462953516937,0.013184687644099129,0.04969945767719347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.8524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,92.4248,0.9952,0.0048,0.0004,0.0,0.0,0.0,0.0,3.649434540745276,0.0048,147.0,184.5152,0.9856,0.0132,0.004,0.0,0.0,0.0,0.0,11.838700450619207,0.0144,211.0,256.2564,0.9,0.0788,0.0312,0.0012,0.0,0.0,0.0,80.00457540921846,0.1,374.0,479.8352
GC,MFFU_RAPID_EOD_50K,PAY_MINIMUM_PAYOUT_ONLY,MINIMUM_PAYOUT_ONLY,1250.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.23009072639999995,0.074,0.0004,0.0,0.9924,0.9136,0.0,54.9,0.0,0.0864,0.0,48.0072,483.028,"{""MLL_TRAIL"": 0.0344, ""LOSING_STREAK"": 0.052}","{""n_breaches"": 216, ""median_cushion"": -1.046720495713089, ""mean_cushion"": -1.1837441235216806, ""frac_locked"": 0.013888888888888888, ""median_days_since_payout"": 1359.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0008, ""P(breach_91_to_180)"": 0.0008, ""P(breach_by_252)"": 0.0076, ""P(breach_181_to_252)"": 0.0068, ""P(breach_by_504)"": 0.0864, ""P(breach_253_to_504)"": 0.0788, ""P(never_breach_504)"": 0.9136}","{""HEALTHY"": 0.7864166212164193, ""CAUTION"": 0.1140615614456186, ""DEFENSIVE"": 0.041362840907335954, ""CRITICAL"": 0.011982608879420426, ""LOCKOUT"": 0.046176367551205695}",216,-1.046720495713089,-1.1837441235216806,0.013888888888888888,1359.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0008,0.0076,0.0068,0.0864,0.0788,0.9136,0.7864166212164193,0.1140615614456186,0.041362840907335954,0.011982608879420426,0.046176367551205695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.7916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.7348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,92.6744,0.9992,0.0036,0.0,0.0,0.0,0.0,0.0,1.62,0.0008,139.0,184.7424,0.9924,0.0124,0.0028,0.0,0.0,0.0,0.0,7.2,0.0076,225.0,257.0656,0.9136,0.074,0.0312,0.0004,0.0,0.0,0.0,54.9,0.0864,367.0,483.028
GC,MFFU_RAPID_EOD_50K,PAY_PARTIAL_SURPLUS_PAYOUT,PARTIAL_SURPLUS_PAYOUT,1250.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.21495460466028585,0.052,0.0004,0.0,0.9844,0.8988,0.0,35.4646000896865,0.0,0.1012,0.0,48.3836,481.2832,"{""MLL_TRAIL"": 0.0384, ""LOSING_STREAK"": 0.0628}","{""n_breaches"": 253, ""median_cushion"": -0.9049625145974005, ""mean_cushion"": -1.0367169084812442, ""frac_locked"": 0.0, ""median_days_since_payout"": 1371.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0032, ""P(breach_91_to_180)"": 0.0032, ""P(breach_by_252)"": 0.0156, ""P(breach_181_to_252)"": 0.0124, ""P(breach_by_504)"": 0.1012, ""P(breach_253_to_504)"": 0.0856, ""P(never_breach_504)"": 0.8988}","{""HEALTHY"": 0.7851311209818094, ""CAUTION"": 0.1113118310508479, ""DEFENSIVE"": 0.04224137508235421, ""CRITICAL"": 0.014431400373066618, ""LOCKOUT"": 0.04688427251192195}",253,-0.9049625145974005,-1.0367169084812442,0.0,1371.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0032,0.0156,0.0124,0.1012,0.0856,0.8988,0.7851311209818094,0.1113118310508479,0.04224137508235421,0.014431400373066618,0.04688427251192195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.0556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.0672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,93.1196,0.9968,0.0024,0.0,0.0,0.0,0.0,0.0,1.144838867594646,0.0032,167.0,185.3812,0.9844,0.0064,0.0004,0.0,0.0,0.0,0.0,3.185623072801034,0.0156,214.0,257.2828,0.8988,0.052,0.0152,0.0004,0.0,0.0,0.0,35.4646000896865,0.1012,372.0,481.2832
GC,MFFU_RAPID_EOD_50K,PAY_FIXED_INTERNAL_RESERVE,FIXED_INTERNAL_RESERVE,1250.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.23081355204364284,0.0812,0.0,0.0,0.9848,0.9068,0.0,76.13228702935066,0.0,0.0932,0.0,55.5556,478.6044,"{""MLL_TRAIL"": 0.0312, ""LOSING_STREAK"": 0.062}","{""n_breaches"": 233, ""median_cushion"": -0.9858872502588838, ""mean_cushion"": -1.1652177534991868, ""frac_locked"": 0.03862660944206009, ""median_days_since_payout"": 1363.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.002, ""P(breach_91_to_180)"": 0.002, ""P(breach_by_252)"": 0.0152, ""P(breach_181_to_252)"": 0.0132, ""P(breach_by_504)"": 0.0932, ""P(breach_253_to_504)"": 0.078, ""P(never_breach_504)"": 0.9068}","{""HEALTHY"": 0.7661658758728227, ""CAUTION"": 0.11826268926450464, ""DEFENSIVE"": 0.04648856543091876, ""CRITICAL"": 0.015402946026485205, ""LOCKOUT"": 0.05367992340526866}",233,-0.9858872502588838,-1.1652177534991868,0.03862660944206009,1363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0152,0.0132,0.0932,0.078,0.9068,0.7661658758728227,0.11826268926450464,0.04648856543091876,0.015402946026485205,0.05367992340526866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.7716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.5752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,92.3912,0.998,0.004,0.0,0.0,0.0,0.0,0.0,2.864283196491528,0.002,121.0,184.6316,0.9848,0.0164,0.0012,0.0,0.0,0.0,0.0,12.32120436733394,0.0152,217.0,256.89,0.9068,0.0812,0.0284,0.0,0.0,0.0,0.0,76.13228702935066,0.0932,369.0,478.6044
GC,MFFU_RAPID_EOD_50K,PAY_DYNAMIC_RESERVE,DYNAMIC_RESERVE,1250.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.2286404781351839,0.0784,0.0008,0.0,0.9844,0.9028,0.0,75.51088374129833,0.0,0.0972,0.0,47.3036,482.5168,"{""MLL_TRAIL"": 0.038, ""LOSING_STREAK"": 0.0592}","{""n_breaches"": 243, ""median_cushion"": -1.00433704746888, ""mean_cushion"": -1.094896756995597, ""frac_locked"": 0.02880658436213992, ""median_days_since_payout"": 1366.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0048, ""P(breach_91_to_180)"": 0.0048, ""P(breach_by_252)"": 0.0156, ""P(breach_181_to_252)"": 0.0108, ""P(breach_by_504)"": 0.0972, ""P(breach_253_to_504)"": 0.0816, ""P(never_breach_504)"": 0.9028}","{""HEALTHY"": 0.7763760362641402, ""CAUTION"": 0.12012414750684036, ""DEFENSIVE"": 0.043743210683219666, ""CRITICAL"": 0.014083391187160534, ""LOCKOUT"": 0.045673214358639275}",243,-1.00433704746888,-1.094896756995597,0.02880658436213992,1366.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0048,0.0156,0.0108,0.0972,0.0816,0.9028,0.7763760362641402,0.12012414750684036,0.043743210683219666,0.014083391187160534,0.045673214358639275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.9768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.9144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,92.8104,0.9952,0.0052,0.0008,0.0,0.0,0.0,0.0,4.063647670309351,0.0048,160.0,185.3264,0.9844,0.016,0.0032,0.0,0.0,0.0,0.0,13.300999200601582,0.0156,216.0,257.6316,0.9028,0.0784,0.0268,0.0008,0.0,0.0,0.0,75.51088374129833,0.0972,370.0,482.5168
GC,MFFU_RAPID_EOD_50K,PAY_DELAYED_PAYOUT,DELAYED_PAYOUT,1250.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.22625315565958426,0.0696,0.0,0.0,0.986,0.9052,0.0,70.43531121442501,0.0,0.0948,0.0,47.9256,482.5976,"{""MLL_TRAIL"": 0.0376, ""LOSING_STREAK"": 0.0572}","{""n_breaches"": 237, ""median_cushion"": -0.841527509364596, ""mean_cushion"": -1.0131264569273792, ""frac_locked"": 0.02109704641350211, ""median_days_since_payout"": 1363.0, ""median_consecutive_losses"": 3.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0032, ""P(breach_91_to_180)"": 0.0032, ""P(breach_by_252)"": 0.014, ""P(breach_181_to_252)"": 0.0108, ""P(breach_by_504)"": 0.0948, ""P(breach_253_to_504)"": 0.0808, ""P(never_breach_504)"": 0.9052}","{""HEALTHY"": 0.7795990828447463, ""CAUTION"": 0.11613686251718851, ""DEFENSIVE"": 0.044354710527967446, ""CRITICAL"": 0.013653810571412503, ""LOCKOUT"": 0.04625553353868525}",237,-0.841527509364596,-1.0131264569273792,0.02109704641350211,1363.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0032,0.014,0.0108,0.0948,0.0808,0.9052,0.7795990828447463,0.11613686251718851,0.044354710527967446,0.013653810571412503,0.04625553353868525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.782,1.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.36558506972532867,0.0,,92.8088,0.9968,0.0032,0.0004,0.0,0.0,0.0,0.0,2.814026177118968,0.0032,154.0,185.0208,0.986,0.01,0.002,0.0,0.0,0.0,0.0,8.916574279272961,0.014,222.0,257.0644,0.9052,0.0696,0.0216,0.0,0.0,0.0,0.0,70.43531121442501,0.0948,370.0,482.5976
GC,FUNDEDNEXT_FLEX_50K,PAY_PAYOUT_NONE,PAYOUT_NONE,500.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.14834399999999998,0.0,0.0,0.0,0.9268,0.786,0.0,0.0,0.0,0.214,0.0,131.1244,414.0876,"{""MLL_TRAIL"": 0.0952, ""LOSING_STREAK"": 0.1188}","{""n_breaches"": 535, ""median_cushion"": -1.0004114581388421, ""mean_cushion"": -1.129100393225922, ""frac_locked"": 0.028037383177570093, ""median_days_since_payout"": 1314.0, ""median_consecutive_losses"": 3.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0024, ""P(breach_61_to_90)"": 0.0024, ""P(breach_by_180)"": 0.028, ""P(breach_91_to_180)"": 0.0256, ""P(breach_by_252)"": 0.0732, ""P(breach_181_to_252)"": 0.0452, ""P(breach_by_504)"": 0.214, ""P(breach_253_to_504)"": 0.1408, ""P(never_breach_504)"": 0.786}","{""HEALTHY"": 0.6827989103225873, ""CAUTION"": 0.11673721717933756, ""DEFENSIVE"": 0.04893794432148937, ""CRITICAL"": 0.016376235641014134, ""LOCKOUT"": 0.1351496925355716}",535,-1.0004114581388421,-1.129100393225922,0.028037383177570093,1314.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0024,0.028,0.0256,0.0732,0.0452,0.214,0.1408,0.786,0.6827989103225873,0.11673721717933756,0.04893794432148937,0.016376235641014134,0.1351496925355716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.9052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.812,0.9976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,85.0,92.5552,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,147.0,180.714,0.9268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732,199.0,243.9744,0.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,315.0,414.0876
GC,FUNDEDNEXT_FLEX_50K,PAY_PAYOUT_AS_SOON_AS_ELIGIBLE,PAYOUT_AS_SOON_AS_ELIGIBLE,500.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.15937600000000002,0.0,0.0,0.0,0.944,0.8108,0.0,0.0,0.0,0.1892,0.0,130.0692,419.7588,"{""MLL_TRAIL"": 0.0816, ""LOSING_STREAK"": 0.1076}","{""n_breaches"": 473, ""median_cushion"": -0.9583657694529393, ""mean_cushion"": -1.1403801490541157, ""frac_locked"": 0.021141649048625793, ""median_days_since_payout"": 1316.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0004, ""P(breach_61_to_90)"": 0.0004, ""P(breach_by_180)"": 0.0212, ""P(breach_91_to_180)"": 0.0208, ""P(breach_by_252)"": 0.056, ""P(breach_181_to_252)"": 0.0348, ""P(breach_by_504)"": 0.1892, ""P(breach_253_to_504)"": 0.1332, ""P(never_breach_504)"": 0.8108}","{""HEALTHY"": 0.6873741023787923, ""CAUTION"": 0.1166322397005281, ""DEFENSIVE"": 0.04734519397844172, ""CRITICAL"": 0.016014091990903763, ""LOCKOUT"": 0.1326343719513341}",473,-0.9583657694529393,-1.1403801490541157,0.021141649048625793,1316.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0212,0.0208,0.056,0.0348,0.1892,0.1332,0.8108,0.6873741023787923,0.1166322397005281,0.04734519397844172,0.016014091990903763,0.1326343719513341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.7088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.5012,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,75.0,92.28,0.9788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212,148.0,181.4884,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,199.0,245.8492,0.8108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892,317.0,419.7588
GC,FUNDEDNEXT_FLEX_50K,PAY_MINIMUM_PAYOUT_ONLY,MINIMUM_PAYOUT_ONLY,500.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.15891200000000005,0.0,0.0,0.0,0.9464,0.808,0.0,0.0,0.0,0.192,0.0,128.0508,420.3992,"{""MLL_TRAIL"": 0.0788, ""LOSING_STREAK"": 0.1132}","{""n_breaches"": 480, ""median_cushion"": -0.9988152528603678, ""mean_cushion"": -1.1173542874586322, ""frac_locked"": 0.01875, ""median_days_since_payout"": 1322.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0012, ""P(breach_61_to_90)"": 0.0012, ""P(breach_by_180)"": 0.026, ""P(breach_91_to_180)"": 0.0248, ""P(breach_by_252)"": 0.0536, ""P(breach_181_to_252)"": 0.0276, ""P(breach_by_504)"": 0.192, ""P(breach_253_to_504)"": 0.1384, ""P(never_breach_504)"": 0.808}","{""HEALTHY"": 0.6886044574331521, ""CAUTION"": 0.11620018845765165, ""DEFENSIVE"": 0.04833409581296261, ""CRITICAL"": 0.01634921339414962, ""LOCKOUT"": 0.13051204490208396}",480,-0.9988152528603678,-1.1173542874586322,0.01875,1322.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0012,0.026,0.0248,0.0536,0.0276,0.192,0.1384,0.808,0.6886044574331521,0.11620018845765165,0.04833409581296261,0.01634921339414962,0.13051204490208396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.9628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.9132,0.9988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,86.0,92.5672,0.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,146.0,181.3788,0.9464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,184.0,246.316,0.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,323.0,420.3992
GC,FUNDEDNEXT_FLEX_50K,PAY_PARTIAL_SURPLUS_PAYOUT,PARTIAL_SURPLUS_PAYOUT,500.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.15976,0.0,0.0,0.0,0.9376,0.8156,0.0,0.0,0.0,0.1844,0.0,128.7788,418.8164,"{""MLL_TRAIL"": 0.0708, ""LOSING_STREAK"": 0.1136}","{""n_breaches"": 461, ""median_cushion"": -0.915392219030764, ""mean_cushion"": -1.0877615748366287, ""frac_locked"": 0.021691973969631236, ""median_days_since_payout"": 1306.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0004, ""P(breach_31_to_60)"": 0.0004, ""P(breach_by_90)"": 0.002, ""P(breach_61_to_90)"": 0.0016, ""P(breach_by_180)"": 0.0296, ""P(breach_91_to_180)"": 0.0276, ""P(breach_by_252)"": 0.0624, ""P(breach_181_to_252)"": 0.0328, ""P(breach_by_504)"": 0.1844, ""P(breach_253_to_504)"": 0.122, ""P(never_breach_504)"": 0.8156}","{""HEALTHY"": 0.686692709758634, ""CAUTION"": 0.11808415658694106, ""DEFENSIVE"": 0.04809705270647474, ""CRITICAL"": 0.015836229544086255, ""LOCKOUT"": 0.13128985140386404}",461,-0.915392219030764,-1.0877615748366287,0.021691973969631236,1306.0,4.0,0.0,0.0,0.0,0.0004,0.0004,0.002,0.0016,0.0296,0.0276,0.0624,0.0328,0.1844,0.122,0.8156,0.686692709758634,0.11808415658694106,0.04809705270647474,0.015836229544086255,0.13128985140386404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.7272,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,43.0,61.382,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,72.0,91.9288,0.9704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0296,135.0,179.9464,0.9376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0624,184.0,244.1596,0.8156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1844,307.0,418.8164
