book,profile,policy,payout_mode,reserve_usd,use_dynamic_risk,fixed_risk_usd,healthy_cushion_frac,daily_stop,streak_mode,pre_lock_scale,post_lock_scale,block_insufficient_capacity,cap_risk_to_cushion,n_paths,classification,composite_score,P(first payout),P(5 payouts),P(10 payouts),P(survive 1 year),P(survive 504),median_cumulative_payout,expected_cumulative_payout,downside_tail_p05_payout,P(breach),never_traded,mean_floor_blocks,mean_trades,breach_causes,pre_breach,breach_timing,state_occupancy,pre_n_breaches,pre_median_cushion,pre_mean_cushion,pre_frac_locked,pre_median_days_since_payout,pre_median_consecutive_losses,pre_frac_payout_within_8d,P(breach_by_30),P(breach_1_to_30),P(breach_by_60),P(breach_31_to_60),P(breach_by_90),P(breach_61_to_90),P(breach_by_180),P(breach_91_to_180),P(breach_by_252),P(breach_181_to_252),P(breach_by_504),P(breach_253_to_504),P(never_breach_504),state_HEALTHY,state_CAUTION,state_DEFENSIVE,state_CRITICAL,state_LOCKOUT,h30_P(survive),h30_P(first payout),h30_P(2 payouts),h30_P(5 payouts),h30_P(10 payouts),h30_median_payouts,h30_median_cumulative_trader_payout,h30_expected_cumulative_trader_payout,h30_P(breach),h30_median_time_to_breach,h30_mean_trades,h60_P(survive),h60_P(first payout),h60_P(2 payouts),h60_P(5 payouts),h60_P(10 payouts),h60_median_payouts,h60_median_cumulative_trader_payout,h60_expected_cumulative_trader_payout,h60_P(breach),h60_median_time_to_breach,h60_mean_trades,h90_P(survive),h90_P(first payout),h90_P(2 payouts),h90_P(5 payouts),h90_P(10 payouts),h90_median_payouts,h90_median_cumulative_trader_payout,h90_expected_cumulative_trader_payout,h90_P(breach),h90_median_time_to_breach,h90_mean_trades,h180_P(survive),h180_P(first payout),h180_P(2 payouts),h180_P(5 payouts),h180_P(10 payouts),h180_median_payouts,h180_median_cumulative_trader_payout,h180_expected_cumulative_trader_payout,h180_P(breach),h180_median_time_to_breach,h180_mean_trades,h252_P(survive),h252_P(first payout),h252_P(2 payouts),h252_P(5 payouts),h252_P(10 payouts),h252_median_payouts,h252_median_cumulative_trader_payout,h252_expected_cumulative_trader_payout,h252_P(breach),h252_median_time_to_breach,h252_mean_trades,h504_P(survive),h504_P(first payout),h504_P(2 payouts),h504_P(5 payouts),h504_P(10 payouts),h504_median_payouts,h504_median_cumulative_trader_payout,h504_expected_cumulative_trader_payout,h504_P(breach),h504_median_time_to_breach,h504_mean_trades
GC,MFFU_RAPID_EOD_50K,DSTOP_none,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.34343513530884573,0.2408,0.0136,0.0,1.0,1.0,0.0,339.3113530884578,0.0,0.0,0.0,5.2972,219.2996,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.08112698412698413, ""CAUTION"": 0.24021666666666666, ""DEFENSIVE"": 0.6784380952380953, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.00021825396825396825}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08112698412698413,0.24021666666666666,0.6784380952380953,0.0,0.00021825396825396825,1.0,0.1048,0.0264,0.0004,0.0,0.0,0.0,106.38376802267314,0.0,,49.392,1.0,0.1728,0.0612,0.004,0.0,0.0,0.0,201.303308162509,0.0,,80.808,1.0,0.1928,0.0796,0.0048,0.0,0.0,0.0,237.13994625566113,0.0,,102.3624,1.0,0.22,0.1004,0.0092,0.0,0.0,0.0,291.96333628836123,0.0,,142.2108,1.0,0.2276,0.1076,0.0108,0.0,0.0,0.0,307.8179941588637,0.0,,163.1744,1.0,0.2408,0.1208,0.0136,0.0,0.0,0.0,339.3113530884578,0.0,,219.2996
GC,MFFU_RAPID_EOD_50K,DSTOP_r_loss,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,r_loss,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.2969965224042676,0.1464,0.0056,0.0,1.0,1.0,0.0,191.40522404267617,0.0,0.0,0.0,5.3004,180.1252,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.08636111111111111, ""CAUTION"": 0.24774603174603174, ""DEFENSIVE"": 0.6655857142857143, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0003071428571428571}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08636111111111111,0.24774603174603174,0.6655857142857143,0.0,0.0003071428571428571,1.0,0.0584,0.0136,0.0,0.0,0.0,0.0,58.303268989868265,0.0,,35.2188,1.0,0.1,0.0312,0.0016,0.0,0.0,0.0,112.56444198818444,0.0,,60.8168,1.0,0.1204,0.0412,0.0024,0.0,0.0,0.0,141.30920505346447,0.0,,79.2976,1.0,0.1352,0.0512,0.0032,0.0,0.0,0.0,166.4379303461559,0.0,,113.7412,1.0,0.14,0.0552,0.004,0.0,0.0,0.0,175.66476587383846,0.0,,132.124,1.0,0.1464,0.062,0.0056,0.0,0.0,0.0,191.40522404267617,0.0,,180.1252
GC,MFFU_RAPID_EOD_50K,DSTOP_cushion_frac,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,cushion_frac,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.3379302159839447,0.2312,0.0116,0.0,1.0,1.0,0.0,318.58215983944655,0.0,0.0,0.0,5.3144,219.4796,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.0788531746031746, ""CAUTION"": 0.2469222222222222, ""DEFENSIVE"": 0.6739738095238095, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0002507936507936508}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0788531746031746,0.2469222222222222,0.6739738095238095,0.0,0.0002507936507936508,1.0,0.104,0.0296,0.0008,0.0,0.0,0.0,109.88084658938045,0.0,,48.4768,1.0,0.1652,0.0616,0.0028,0.0,0.0,0.0,192.45175644213003,0.0,,78.8228,1.0,0.1844,0.0744,0.004,0.0,0.0,0.0,222.96057482557922,0.0,,99.7648,1.0,0.208,0.0936,0.0056,0.0,0.0,0.0,265.8702775719054,0.0,,140.2132,1.0,0.214,0.1024,0.0068,0.0,0.0,0.0,282.60254719646906,0.0,,162.5576,1.0,0.2312,0.1132,0.0116,0.0,0.0,0.0,318.58215983944655,0.0,,219.4796
GC,MFFU_RAPID_EOD_50K,DSTOP_consec,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,consec,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.2946783104932164,0.1432,0.0048,0.0,1.0,1.0,0.0,179.9031049321642,0.0,0.0,0.0,5.3724,191.5792,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.06876984126984127, ""CAUTION"": 0.23008095238095239, ""DEFENSIVE"": 0.7008912698412698, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.00025793650793650796}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06876984126984127,0.23008095238095239,0.7008912698412698,0.0,0.00025793650793650796,1.0,0.0676,0.012,0.0,0.0,0.0,0.0,65.21571205739116,0.0,,42.8008,1.0,0.1032,0.0292,0.0016,0.0,0.0,0.0,110.930469317439,0.0,,69.1016,1.0,0.1172,0.0368,0.002,0.0,0.0,0.0,131.0360258466884,0.0,,87.278,1.0,0.1308,0.0472,0.0032,0.0,0.0,0.0,153.24660697955525,0.0,,120.8816,1.0,0.1352,0.0504,0.0036,0.0,0.0,0.0,160.6779528538051,0.0,,139.6752,1.0,0.1432,0.06,0.0048,0.0,0.0,0.0,179.9031049321642,0.0,,191.5792
GC,MFFU_RAPID_EOD_50K,STREAK_none,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.33805535845237394,0.2324,0.0104,0.0,1.0,1.0,0.0,318.1535845237396,0.0,0.0,0.0,5.2932,220.7468,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.07931428571428571, ""CAUTION"": 0.24725952380952382, ""DEFENSIVE"": 0.6731896825396826, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0002365079365079365}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07931428571428571,0.24725952380952382,0.6731896825396826,0.0,0.0002365079365079365,1.0,0.0984,0.0248,0.0,0.0,0.0,0.0,99.83644601357561,0.0,,48.96,1.0,0.1632,0.0608,0.0004,0.0,0.0,0.0,185.59012202965192,0.0,,79.3304,1.0,0.186,0.0732,0.0024,0.0,0.0,0.0,220.4423993492659,0.0,,100.398,1.0,0.2104,0.0924,0.0056,0.0,0.0,0.0,266.0554676443719,0.0,,139.9248,1.0,0.2152,0.0964,0.0084,0.0,0.0,0.0,280.2952969866327,0.0,,161.6204,1.0,0.2324,0.1136,0.0104,0.0,0.0,0.0,318.1535845237396,0.0,,220.7468
GC,MFFU_RAPID_EOD_50K,STREAK_reduce2,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,none,reduce2,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.29936970448624084,0.1524,0.0036,0.0,1.0,1.0,0.0,199.53704486240852,0.0,0.0,0.0,3.6432,213.0448,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.1024468253968254, ""CAUTION"": 0.524665873015873, ""DEFENSIVE"": 0.3728873015873016, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1024468253968254,0.524665873015873,0.3728873015873016,0.0,0.0,1.0,0.0528,0.008,0.0,0.0,0.0,0.0,49.96586418974609,0.0,,43.3912,1.0,0.0972,0.024,0.0,0.0,0.0,0.0,100.66803030054058,0.0,,68.2696,1.0,0.1112,0.0348,0.0,0.0,0.0,0.0,123.11806732655538,0.0,,86.6592,1.0,0.1272,0.0464,0.0008,0.0,0.0,0.0,149.20246128387535,0.0,,127.2204,1.0,0.1344,0.0528,0.0012,0.0,0.0,0.0,162.1817532308078,0.0,,151.302,1.0,0.1524,0.0692,0.0036,0.0,0.0,0.0,199.53704486240852,0.0,,213.0448
GC,MFFU_RAPID_EOD_50K,STREAK_reduce3,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,none,reduce3,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.3122100749369361,0.176,0.01,0.0004,1.0,1.0,0.0,240.30074936936023,0.0,0.0,0.0,4.234,204.926,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.0882015873015873, ""CAUTION"": 0.4102904761904762, ""DEFENSIVE"": 0.5015079365079365, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0882015873015873,0.4102904761904762,0.5015079365079365,0.0,0.0,1.0,0.0628,0.0144,0.0,0.0,0.0,0.0,63.666573203229,0.0,,44.0392,1.0,0.1108,0.0316,0.0008,0.0,0.0,0.0,121.37862456025994,0.0,,69.1464,1.0,0.1296,0.0424,0.002,0.0,0.0,0.0,149.26485453782558,0.0,,88.1176,1.0,0.1476,0.058,0.0052,0.0,0.0,0.0,183.58357084804058,0.0,,126.934,1.0,0.158,0.0672,0.0068,0.0,0.0,0.0,203.61503419212676,0.0,,148.62,1.0,0.176,0.0808,0.01,0.0004,0.0,0.0,240.30074936936023,0.0,,204.926
GC,MFFU_RAPID_EOD_50K,STREAK_pause3,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,none,pause3,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.3096138056850244,0.1752,0.0052,0.0,1.0,1.0,0.0,226.1380568502434,0.0,0.0,0.0,5.1832,198.4392,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.09192222222222222, ""CAUTION"": 0.2758738095238095, ""DEFENSIVE"": 0.6319325396825397, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.00027142857142857144}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09192222222222222,0.2758738095238095,0.6319325396825397,0.0,0.00027142857142857144,1.0,0.07,0.0172,0.0,0.0,0.0,0.0,71.71291179194499,0.0,,40.1248,1.0,0.1168,0.038,0.0,0.0,0.0,0.0,130.46665543725615,0.0,,67.234,1.0,0.1372,0.0484,0.0012,0.0,0.0,0.0,157.39899114834424,0.0,,87.3024,1.0,0.1572,0.0644,0.004,0.0,0.0,0.0,193.64494745165823,0.0,,124.9848,1.0,0.1652,0.0688,0.0052,0.0,0.0,0.0,207.89070908397636,0.0,,145.3964,1.0,0.1752,0.078,0.0052,0.0,0.0,0.0,226.1380568502434,0.0,,198.4392
GC,MFFU_RAPID_EOD_50K,POSTLOCK_1.0,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.33099384810657184,0.22,0.0072,0.0,1.0,1.0,0.0,292.97848106571894,0.0,0.0,0.0,5.366,220.3616,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.07977698412698413, ""CAUTION"": 0.24408730158730158, ""DEFENSIVE"": 0.675886507936508, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0002492063492063492}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07977698412698413,0.24408730158730158,0.675886507936508,0.0,0.0002492063492063492,1.0,0.0944,0.022,0.0,0.0,0.0,0.0,96.4574274636221,0.0,,49.024,1.0,0.152,0.052,0.0008,0.0,0.0,0.0,173.0238736995798,0.0,,79.5328,1.0,0.1712,0.0664,0.0016,0.0,0.0,0.0,204.69033078561992,0.0,,101.0156,1.0,0.1956,0.0816,0.0032,0.0,0.0,0.0,248.035203341942,0.0,,141.3464,1.0,0.2044,0.0892,0.0044,0.0,0.0,0.0,264.9797774098812,0.0,,163.272,1.0,0.22,0.0984,0.0072,0.0,0.0,0.0,292.97848106571894,0.0,,220.3616
GC,MFFU_RAPID_EOD_50K,POSTLOCK_0.5,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,none,none,1.0,0.5,True,True,2500,PROP_PROFILE_UNSUITABLE,0.3341374393295505,0.2368,0.0036,0.0,1.0,1.0,0.0,277.1343932955047,0.0,0.0,0.0,4.7156,224.5496,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.09596031746031745, ""CAUTION"": 0.36078650793650796, ""DEFENSIVE"": 0.54305, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.00020317460317460318}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09596031746031745,0.36078650793650796,0.54305,0.0,0.00020317460317460318,1.0,0.0952,0.0088,0.0,0.0,0.0,0.0,86.64823634053134,0.0,,48.8964,1.0,0.1596,0.036,0.0,0.0,0.0,0.0,157.63224059429174,0.0,,78.9388,1.0,0.184,0.0452,0.0,0.0,0.0,0.0,186.23133868719015,0.0,,99.696,1.0,0.2112,0.0652,0.002,0.0,0.0,0.0,229.03001518277108,0.0,,139.3316,1.0,0.2196,0.0712,0.002,0.0,0.0,0.0,241.25887975144124,0.0,,162.5832,1.0,0.2368,0.0936,0.0036,0.0,0.0,0.0,277.1343932955047,0.0,,224.5496
GC,FUNDEDNEXT_FLEX_50K,DSTOP_none,PARTIAL_SURPLUS_PAYOUT,500.0,True,,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.35626525696523664,0.3776,0.0092,0.0004,1.0,1.0,0.0,292.37256965236674,0.0,0.0,0.0,10.4448,178.566,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.07366825396825397, ""CAUTION"": 0.3282198412698413, ""DEFENSIVE"": 0.5938873015873016, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.004224603174603174}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07366825396825397,0.3282198412698413,0.5938873015873016,0.0,0.004224603174603174,1.0,0.2188,0.0088,0.0,0.0,0.0,0.0,112.9085598111101,0.0,,42.3672,1.0,0.2848,0.0432,0.0,0.0,0.0,0.0,171.68736504080104,0.0,,64.9252,1.0,0.3096,0.056,0.0008,0.0,0.0,0.0,198.3630456566646,0.0,,81.5184,1.0,0.3404,0.0764,0.004,0.0004,0.0,0.0,235.34891553361817,0.0,,113.9388,1.0,0.354,0.0892,0.0048,0.0004,0.0,0.0,255.39079693001807,0.0,,132.434,1.0,0.3776,0.1092,0.0092,0.0004,0.0,0.0,292.37256965236674,0.0,,178.566
GC,FUNDEDNEXT_FLEX_50K,DSTOP_r_loss,PARTIAL_SURPLUS_PAYOUT,500.0,True,,0.12,r_loss,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.35295842705647257,0.3808,0.0056,0.0,1.0,1.0,0.0,262.5442705647257,0.0,0.0,0.0,10.3876,152.9044,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.0814547619047619, ""CAUTION"": 0.3419984126984127, ""DEFENSIVE"": 0.5719571428571428, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.004589682539682539}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0814547619047619,0.3419984126984127,0.5719571428571428,0.0,0.004589682539682539,1.0,0.2212,0.0076,0.0,0.0,0.0,0.0,111.23367743407856,0.0,,31.9724,1.0,0.2916,0.0372,0.0,0.0,0.0,0.0,163.0888987053167,0.0,,51.866,1.0,0.3164,0.0544,0.0008,0.0,0.0,0.0,186.17177717889552,0.0,,66.6636,1.0,0.3448,0.078,0.0016,0.0,0.0,0.0,220.22667018512612,0.0,,96.9528,1.0,0.36,0.0868,0.0036,0.0,0.0,0.0,238.42219586777827,0.0,,113.5012,1.0,0.3808,0.1004,0.0056,0.0,0.0,0.0,262.5442705647257,0.0,,152.9044
