book,profile,policy,payout_mode,reserve_usd,use_dynamic_risk,fixed_risk_usd,healthy_cushion_frac,daily_stop,streak_mode,pre_lock_scale,post_lock_scale,block_insufficient_capacity,cap_risk_to_cushion,n_paths,classification,composite_score,P(first payout),P(5 payouts),P(10 payouts),P(survive 1 year),P(survive 504),median_cumulative_payout,expected_cumulative_payout,downside_tail_p05_payout,P(breach),never_traded,mean_floor_blocks,mean_trades,breach_causes,pre_breach,breach_timing,state_occupancy,pre_n_breaches,pre_median_cushion,pre_mean_cushion,pre_frac_locked,pre_median_days_since_payout,pre_median_consecutive_losses,pre_frac_payout_within_8d,P(breach_by_30),P(breach_1_to_30),P(breach_by_60),P(breach_31_to_60),P(breach_by_90),P(breach_61_to_90),P(breach_by_180),P(breach_91_to_180),P(breach_by_252),P(breach_181_to_252),P(breach_by_504),P(breach_253_to_504),P(never_breach_504),state_HEALTHY,state_CAUTION,state_DEFENSIVE,state_CRITICAL,state_LOCKOUT,h30_P(survive),h30_P(first payout),h30_P(2 payouts),h30_P(5 payouts),h30_P(10 payouts),h30_median_payouts,h30_median_cumulative_trader_payout,h30_expected_cumulative_trader_payout,h30_P(breach),h30_median_time_to_breach,h30_mean_trades,h60_P(survive),h60_P(first payout),h60_P(2 payouts),h60_P(5 payouts),h60_P(10 payouts),h60_median_payouts,h60_median_cumulative_trader_payout,h60_expected_cumulative_trader_payout,h60_P(breach),h60_median_time_to_breach,h60_mean_trades,h90_P(survive),h90_P(first payout),h90_P(2 payouts),h90_P(5 payouts),h90_P(10 payouts),h90_median_payouts,h90_median_cumulative_trader_payout,h90_expected_cumulative_trader_payout,h90_P(breach),h90_median_time_to_breach,h90_mean_trades,h180_P(survive),h180_P(first payout),h180_P(2 payouts),h180_P(5 payouts),h180_P(10 payouts),h180_median_payouts,h180_median_cumulative_trader_payout,h180_expected_cumulative_trader_payout,h180_P(breach),h180_median_time_to_breach,h180_mean_trades,h252_P(survive),h252_P(first payout),h252_P(2 payouts),h252_P(5 payouts),h252_P(10 payouts),h252_median_payouts,h252_median_cumulative_trader_payout,h252_expected_cumulative_trader_payout,h252_P(breach),h252_median_time_to_breach,h252_mean_trades,h504_P(survive),h504_P(first payout),h504_P(2 payouts),h504_P(5 payouts),h504_P(10 payouts),h504_median_payouts,h504_median_cumulative_trader_payout,h504_expected_cumulative_trader_payout,h504_P(breach),h504_median_time_to_breach,h504_mean_trades
GC,MFFU_RAPID_EOD_50K,FIXED_ONE_MICRO,FIXED_INTERNAL_RESERVE,1250.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.23418080635028635,0.0828,0.002,0.0,0.9864,0.9112,0.0,84.21578787986293,0.0,0.0888,0.0,49.674,481.32,"{""MLL_TRAIL"": 0.0352, ""LOSING_STREAK"": 0.0536}","{""n_breaches"": 222, ""median_cushion"": -0.9026366186867563, ""mean_cushion"": -1.091759597861825, ""frac_locked"": 0.009009009009009009, ""median_days_since_payout"": 1369.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.004, ""P(breach_91_to_180)"": 0.004, ""P(breach_by_252)"": 0.0136, ""P(breach_181_to_252)"": 0.0096, ""P(breach_by_504)"": 0.0888, ""P(breach_253_to_504)"": 0.0752, ""P(never_breach_504)"": 0.9112}","{""HEALTHY"": 0.7800759673289982, ""CAUTION"": 0.11565101296560128, ""DEFENSIVE"": 0.0426389645765469, ""CRITICAL"": 0.013648215712676345, ""LOCKOUT"": 0.04798583941617731}",222,-0.9026366186867563,-1.091759597861825,0.009009009009009009,1369.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0136,0.0096,0.0888,0.0752,0.9112,0.7800759673289982,0.11565101296560128,0.0426389645765469,0.013648215712676345,0.04798583941617731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.7636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.6784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,92.3016,0.996,0.0048,0.0008,0.0,0.0,0.0,0.0,3.88858355095327,0.004,143.0,184.5808,0.9864,0.0144,0.0048,0.0,0.0,0.0,0.0,13.254473805246645,0.0136,201.0,256.6556,0.9112,0.0828,0.032,0.002,0.0,0.0,0.0,84.21578787986293,0.0888,371.0,481.32
GC,MFFU_RAPID_EOD_50K,DYN_A,FIXED_INTERNAL_RESERVE,1250.0,True,,0.1,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.3208386126840943,0.1988,0.008,0.0004,1.0,1.0,0.0,257.22612684094327,0.0,0.0,0.0,3.4444,236.8048,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.08920396825396826, ""CAUTION"": 0.2949015873015873, ""DEFENSIVE"": 0.6158944444444444, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08920396825396826,0.2949015873015873,0.6158944444444444,0.0,0.0,1.0,0.0616,0.0112,0.0,0.0,0.0,0.0,58.10779295905805,0.0,,48.1144,1.0,0.1164,0.0308,0.0004,0.0,0.0,0.0,119.67620925642906,0.0,,79.5588,1.0,0.1404,0.0452,0.0004,0.0,0.0,0.0,150.87889104746677,0.0,,102.2176,1.0,0.1708,0.0648,0.0024,0.0,0.0,0.0,198.27678826197618,0.0,,147.3624,1.0,0.1808,0.076,0.0056,0.0,0.0,0.0,222.15777912310222,0.0,,173.146,1.0,0.1988,0.0888,0.008,0.0004,0.0,0.0,257.22612684094327,0.0,,236.8048
GC,MFFU_RAPID_EOD_50K,DYN_B,FIXED_INTERNAL_RESERVE,1250.0,True,,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.33447387725719985,0.2264,0.0096,0.0004,1.0,1.0,0.0,302.37877257199824,0.0,0.0,0.0,5.3576,219.2648,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.07973174603174603, ""CAUTION"": 0.24177301587301586, ""DEFENSIVE"": 0.6782150793650794, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.00028015873015873016}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07973174603174603,0.24177301587301586,0.6782150793650794,0.0,0.00028015873015873016,1.0,0.094,0.0196,0.0,0.0,0.0,0.0,94.5039206437035,0.0,,48.9508,1.0,0.1592,0.0492,0.0008,0.0,0.0,0.0,174.71626454119388,0.0,,79.6068,1.0,0.1796,0.062,0.0012,0.0,0.0,0.0,204.2889005395482,0.0,,101.0012,1.0,0.206,0.0828,0.0052,0.0,0.0,0.0,253.2436754292489,0.0,,141.0768,1.0,0.21,0.0868,0.0064,0.0,0.0,0.0,265.1034535145972,0.0,,162.5676,1.0,0.2264,0.1024,0.0096,0.0004,0.0,0.0,302.37877257199824,0.0,,219.2648
GC,MFFU_RAPID_EOD_50K,DYN_C,FIXED_INTERNAL_RESERVE,1250.0,True,,0.08,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.30117987091825615,0.164,0.0028,0.0,1.0,1.0,0.0,181.95870918256136,0.0,0.0,0.0,2.0532,235.0696,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.09944047619047619, ""CAUTION"": 0.33925, ""DEFENSIVE"": 0.5613095238095238, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09944047619047619,0.33925,0.5613095238095238,0.0,0.0,1.0,0.0348,0.0036,0.0,0.0,0.0,0.0,30.204877147956893,0.0,,45.7596,1.0,0.0752,0.0092,0.0004,0.0,0.0,0.0,67.19200431091558,0.0,,75.854,1.0,0.0964,0.0188,0.0004,0.0,0.0,0.0,91.43947332079628,0.0,,99.2204,1.0,0.1304,0.0348,0.0012,0.0,0.0,0.0,131.3864037818969,0.0,,147.7904,1.0,0.1464,0.0452,0.0012,0.0,0.0,0.0,152.5558579868952,0.0,,174.3676,1.0,0.164,0.0608,0.0028,0.0,0.0,0.0,181.95870918256136,0.0,,235.0696
GC,FUNDEDNEXT_FLEX_50K,FIXED_ONE_MICRO,PARTIAL_SURPLUS_PAYOUT,500.0,False,54.79989578241657,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.152984,0.0,0.0,0.0,0.9412,0.7924,0.0,0.0,0.0,0.2076,0.0,123.844,420.188,"{""MLL_TRAIL"": 0.086, ""LOSING_STREAK"": 0.1216}","{""n_breaches"": 519, ""median_cushion"": -0.9013278564016218, ""mean_cushion"": -1.0534666864248698, ""frac_locked"": 0.02119460500963391, ""median_days_since_payout"": 1327.0, ""median_consecutive_losses"": 3.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0244, ""P(breach_91_to_180)"": 0.0244, ""P(breach_by_252)"": 0.0588, ""P(breach_181_to_252)"": 0.0344, ""P(breach_by_504)"": 0.2076, ""P(breach_253_to_504)"": 0.1488, ""P(never_breach_504)"": 0.7924}","{""HEALTHY"": 0.688163566413471, ""CAUTION"": 0.11995213443532787, ""DEFENSIVE"": 0.04835966082357936, ""CRITICAL"": 0.016759810081791785, ""LOCKOUT"": 0.12676482824583}",519,-0.9013278564016218,-1.0534666864248698,0.02119460500963391,1327.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244,0.0244,0.0588,0.0344,0.2076,0.1488,0.7924,0.688163566413471,0.11995213443532787,0.04835966082357936,0.016759810081791785,0.12676482824583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.8496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.5796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,92.2604,0.9756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244,153.0,181.2472,0.9412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,189.0,246.1876,0.7924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2076,328.0,420.188
GC,FUNDEDNEXT_FLEX_50K,DYN_A,PARTIAL_SURPLUS_PAYOUT,500.0,True,,0.1,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.3390264397167439,0.3112,0.0028,0.0004,1.0,1.0,0.0,211.18439716743947,0.0,0.0,0.0,5.568,181.65,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.07913174603174603, ""CAUTION"": 0.37866507936507937, ""DEFENSIVE"": 0.5421531746031746, ""CRITICAL"": 0.0, ""LOCKOUT"": 5e-05}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07913174603174603,0.37866507936507937,0.5421531746031746,0.0,5e-05,1.0,0.15,0.0008,0.0,0.0,0.0,0.0,73.41646043004312,0.0,,41.0204,1.0,0.2148,0.0192,0.0,0.0,0.0,0.0,117.67236943866918,0.0,,62.9196,1.0,0.238,0.0276,0.0,0.0,0.0,0.0,136.80529268546138,0.0,,79.0824,1.0,0.2736,0.0456,0.0016,0.0,0.0,0.0,173.21056119671357,0.0,,113.3892,1.0,0.286,0.0528,0.0024,0.0004,0.0,0.0,186.16651511904917,0.0,,132.9956,1.0,0.3112,0.0632,0.0028,0.0004,0.0,0.0,211.18439716743947,0.0,,181.65
GC,FUNDEDNEXT_FLEX_50K,DYN_B,PARTIAL_SURPLUS_PAYOUT,500.0,True,,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.35711180162693895,0.3844,0.0092,0.0008,1.0,1.0,0.0,292.07801626938965,0.0,0.0,0.0,10.4864,176.1236,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.07382619047619048, ""CAUTION"": 0.3208968253968254, ""DEFENSIVE"": 0.6010547619047619, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.004222222222222222}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07382619047619048,0.3208968253968254,0.6010547619047619,0.0,0.004222222222222222,1.0,0.2104,0.008,0.0,0.0,0.0,0.0,109.10949916617415,0.0,,42.146,1.0,0.2804,0.0376,0.0,0.0,0.0,0.0,163.8803286857841,0.0,,65.112,1.0,0.304,0.056,0.0016,0.0,0.0,0.0,194.45572308551908,0.0,,81.5304,1.0,0.3404,0.0732,0.0056,0.0008,0.0,0.0,235.4957608740189,0.0,,113.638,1.0,0.3544,0.0816,0.0068,0.0008,0.0,0.0,255.5073671339248,0.0,,131.2436,1.0,0.3844,0.1032,0.0092,0.0008,0.0,0.0,292.07801626938965,0.0,,176.1236
GC,FUNDEDNEXT_FLEX_50K,DYN_C,PARTIAL_SURPLUS_PAYOUT,500.0,True,,0.08,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.33620862661083123,0.2912,0.0044,0.0004,1.0,1.0,0.0,204.12626610831268,0.0,0.0,0.0,3.668,203.6948,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 0.11193095238095238, ""CAUTION"": 0.49634285714285714, ""DEFENSIVE"": 0.39172619047619045, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11193095238095238,0.49634285714285714,0.39172619047619045,0.0,0.0,1.0,0.0444,0.0004,0.0,0.0,0.0,0.0,22.36885197318832,0.0,,39.0992,1.0,0.12,0.0048,0.0,0.0,0.0,0.0,63.24700317884353,0.0,,61.5352,1.0,0.1568,0.0136,0.0,0.0,0.0,0.0,87.68125671798785,0.0,,78.7916,1.0,0.2096,0.0308,0.0012,0.0,0.0,0.0,128.34994962693418,0.0,,118.3676,1.0,0.2336,0.0396,0.0016,0.0,0.0,0.0,148.52925867157902,0.0,,142.4716,1.0,0.2912,0.0632,0.0044,0.0004,0.0,0.0,204.12626610831268,0.0,,203.6948
NQ,MFFU_RAPID_EOD_50K,FIXED_ONE_MICRO,PARTIAL_SURPLUS_PAYOUT,1500.0,False,160.0,0.12,none,none,1.0,1.0,True,True,2500,FUNDED_COMPATIBLE_CANDIDATE,1.2263354992760058,0.7084,0.5516,0.4104,0.9968,0.996,3370.4282812499864,6025.965710204327,0.0,0.004,0.0,1038.9456,655.1564,"{""MLL_TRAIL"": 0.0008, ""LOSING_STREAK"": 0.0032}","{""n_breaches"": 10, ""median_cushion"": -0.5890625000093053, ""mean_cushion"": -0.649083105930697, ""frac_locked"": 0.8, ""median_days_since_payout"": 55.0, ""median_consecutive_losses"": 4.0, ""frac_payout_within_8d"": 0.0}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0008, ""P(breach_31_to_60)"": 0.0008, ""P(breach_by_90)"": 0.0008, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0016, ""P(breach_91_to_180)"": 0.0008, ""P(breach_by_252)"": 0.0032, ""P(breach_181_to_252)"": 0.0016, ""P(breach_by_504)"": 0.004, ""P(breach_253_to_504)"": 0.0008, ""P(never_breach_504)"": 0.996}","{""HEALTHY"": 0.35164620955287673, ""CAUTION"": 0.02533064620716597, ""DEFENSIVE"": 0.008227666313669734, ""CRITICAL"": 0.001823596479153953, ""LOCKOUT"": 0.6129718814471335}",10,-0.5890625000093053,-0.649083105930697,0.8,55.0,4.0,0.0,0.0,0.0,0.0008,0.0008,0.0008,0.0,0.0016,0.0008,0.0032,0.0016,0.004,0.0008,0.996,0.35164620955287673,0.02533064620716597,0.008227666313669734,0.001823596479153953,0.6129718814471335,1.0,0.1912,0.0812,0.0028,0.0,0.0,0.0,166.0059056249995,0.0,,97.616,0.9992,0.5148,0.3612,0.0764,0.0008,1.0,459.7199999999969,755.7829800644502,0.0008,33.0,179.7888,0.9992,0.6544,0.5588,0.2536,0.0144,2.0,1059.2774999999936,1467.4667527847835,0.0008,33.0,248.9872,0.9984,0.7072,0.6584,0.5284,0.264,5.0,2792.098124999976,3226.7737667561532,0.0016,99.0,407.4272,0.9968,0.7084,0.6616,0.55,0.3808,6.0,3283.4010937499825,4227.298245924185,0.0032,194.0,496.074,0.996,0.7084,0.6616,0.5516,0.4104,6.0,3370.4282812499864,6025.965710204327,0.004,194.0,655.1564
NQ,MFFU_RAPID_EOD_50K,DYN_A,PARTIAL_SURPLUS_PAYOUT,1500.0,True,,0.1,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.2630019276181884,0.064,0.0108,0.0028,1.0,1.0,0.0,101.57927618188448,0.0,0.0,0.0,0.0,29.218,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 1.0, ""CAUTION"": 0.0, ""DEFENSIVE"": 0.0, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0612,0.0324,0.0004,0.0,0.0,0.0,59.20887487499984,0.0,,27.2364,1.0,0.064,0.038,0.0104,0.0012,0.0,0.0,93.80575016015598,0.0,,28.8356,1.0,0.064,0.038,0.0108,0.0028,0.0,0.0,101.09203016528292,0.0,,29.1824,1.0,0.064,0.038,0.0108,0.0028,0.0,0.0,101.57927618188448,0.0,,29.218,1.0,0.064,0.038,0.0108,0.0028,0.0,0.0,101.57927618188448,0.0,,29.218,1.0,0.064,0.038,0.0108,0.0028,0.0,0.0,101.57927618188448,0.0,,29.218
NQ,MFFU_RAPID_EOD_50K,DYN_B,PARTIAL_SURPLUS_PAYOUT,1500.0,True,,0.12,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.3409567539004832,0.1656,0.0576,0.0164,1.0,1.0,0.0,451.36753900483194,0.0,0.0,0.0,0.0,71.4628,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 1.0, ""CAUTION"": 0.0, ""DEFENSIVE"": 0.0, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1216,0.0596,0.002,0.0,0.0,0.0,115.13682112499968,0.0,,51.6816,1.0,0.1656,0.1232,0.0356,0.0016,0.0,0.0,300.1279829589834,0.0,,62.9532,1.0,0.1656,0.1264,0.0552,0.0096,0.0,0.0,382.60112510302605,0.0,,67.74,1.0,0.1656,0.1264,0.0576,0.0164,0.0,0.0,433.9541943467144,0.0,,70.7768,1.0,0.1656,0.1264,0.0576,0.0164,0.0,0.0,443.6352574202122,0.0,,71.1952,1.0,0.1656,0.1264,0.0576,0.0164,0.0,0.0,451.36753900483194,0.0,,71.4628
NQ,MFFU_RAPID_EOD_50K,DYN_C,PARTIAL_SURPLUS_PAYOUT,1500.0,True,,0.08,none,none,1.0,1.0,True,True,2500,PROP_PROFILE_UNSUITABLE,0.2302969842,0.0008,0.0,0.0,1.0,1.0,0.0,0.4098419999999994,0.0,0.0,0.0,0.0,4.6864,{},"{""n_breaches"": 0, ""median_cushion"": null, ""mean_cushion"": null, ""frac_locked"": null, ""median_days_since_payout"": null, ""median_consecutive_losses"": null, ""frac_payout_within_8d"": null}","{""P(breach_by_30)"": 0.0, ""P(breach_1_to_30)"": 0.0, ""P(breach_by_60)"": 0.0, ""P(breach_31_to_60)"": 0.0, ""P(breach_by_90)"": 0.0, ""P(breach_61_to_90)"": 0.0, ""P(breach_by_180)"": 0.0, ""P(breach_91_to_180)"": 0.0, ""P(breach_by_252)"": 0.0, ""P(breach_181_to_252)"": 0.0, ""P(breach_by_504)"": 0.0, ""P(breach_253_to_504)"": 0.0, ""P(never_breach_504)"": 1.0}","{""HEALTHY"": 1.0, ""CAUTION"": 0.0, ""DEFENSIVE"": 0.0, ""CRITICAL"": 0.0, ""LOCKOUT"": 0.0}",0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.4098419999999994,0.0,,4.6864,1.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.4098419999999994,0.0,,4.6864,1.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.4098419999999994,0.0,,4.6864,1.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.4098419999999994,0.0,,4.6864,1.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.4098419999999994,0.0,,4.6864,1.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.4098419999999994,0.0,,4.6864
